testNumber,a,b,c,d,e,f,g,h,i
1,84.318,189.029,10000,147.054,10000,125.346,10000,131.606,10000
2,170.452,466.379,10000,609.448,10000,352.279,10000,286.619,10000
3,474.878,958.982,10000,10000,10000,562.511,10000,624.385,10000
4,162.545,434.612,10000,500.151,10000,271.023,10000,272.408,10000
5,224.529,388.873,10000,459.141,10000,502.192,10000,662.499,10000
6,356.57,533.058,10000,601.865,10000,776.791,10000,831.489,10000
7,1509.648,10000,10000,10000,10000,10000,10000,10000,10000
8,1304.114,10000,10000,10000,10000,10000,10000,10000,10000
9,2615.467,10000,10000,10000,10000,10000,10000,10000,10000
10,10000,10000,10000,10000,10000,10000,10000,10000,10000
11,10000,10000,10000,10000,10000,10000,10000,10000,10000
12,10000,10000,10000,10000,10000,10000,10000,10000,10000
13,235.067,473.074,10000,291.502,10000,424.488,10000,578.428,10000
14,602.929,846.228,10000,848.284,10000,10000,10000,862.8,10000
15,1084.515,10000,10000,10000,10000,10000,10000,10000,10000
16,403.797,736.946,10000,652.638,10000,681.999,10000,627.569,10000
17,663.986,884.033,10000,10000,10000,10000,10000,10000,10000
18,1142.449,10000,10000,10000,10000,10000,10000,10000,10000
19,723.413,794.365,10000,10000,10000,10000,10000,10000,10000
20,1175.701,10000,10000,10000,10000,10000,10000,10000,10000
21,697.19,598.022,10000,350.222,10000,396.312,10000,415.96,10000
22,775.925,580.016,10000,615.647,10000,359.592,10000,383.364,10000
23,681.12,501.502,10000,310.199,10000,303.813,10000,327.098,10000
24,3674.123,10000,10000,10000,10000,10000,10000,10000,10000
25,2490.836,10000,10000,10000,10000,10000,10000,10000,10000
26,3757.422,10000,10000,10000,10000,10000,10000,10000,10000
27,10000,10000,10000,10000,10000,10000,10000,10000,10000
28,10000,10000,10000,10000,10000,10000,10000,10000,10000
29,10000,10000,10000,10000,10000,10000,10000,10000,10000
30,10000,10000,10000,10000,10000,10000,10000,10000,10000
31,10000,10000,10000,10000,10000,10000,10000,10000,10000
32,10000,10000,10000,10000,10000,10000,10000,10000,10000
33,10000,10000,10000,10000,10000,10000,10000,10000,10000
34,10000,10000,10000,10000,10000,10000,10000,10000,10000
35,0.591,1.179,10000,1.101,10000,0.857,10000,0.951,10000
36,0.616,1.041,10000,0.926,10000,0.947,10000,1.107,10000
37,1.071,1.946,10000,1.573,10000,1.659,10000,1.761,10000
38,3.129,7.04,10000,5.23,10000,5.994,10000,5.122,10000
39,1.736,4.174,10000,3.094,10000,2.545,10000,3.716,10000
40,4.713,12.867,10000,11.916,10000,15.074,10000,12.692,10000
41,28.817,38.172,10000,49.829,10000,19.352,10000,24.072,10000
42,3201.843,10000,10000,889.122,10000,840.466,10000,558.612,10000
43,1.385,1.889,10000,1.962,10000,2.61,10000,2.516,10000
44,1.284,1.938,10000,2.416,10000,2.047,10000,2.112,10000
45,1.189,1.592,10000,1.645,10000,2.659,10000,1.486,10000
46,1.469,2.386,10000,1.699,10000,1.776,10000,2.396,10000
47,1.301,1.737,10000,1.859,10000,1.695,10000,1.851,10000
48,63.502,95.439,10000,78.306,10000,294.831,10000,203.04,10000
49,7.311,11.025,10000,10.229,10000,12.027,10000,11.084,10000
50,67.766,125.964,10000,99.585,10000,126.547,10000,124.983,10000
51,5.219,10.122,10000,10.291,10000,9.651,10000,8.748,10000
52,632.384,10000,10000,10000,10000,457.302,10000,488.037,10000
53,45.868,97.665,10000,105.259,10000,79.328,10000,89.805,10000
54,490.916,891.723,10000,661.224,10000,343.928,10000,308.132,10000
55,3067.285,10000,10000,10000,10000,10000,10000,10000,10000
56,10000,10000,10000,10000,10000,10000,10000,10000,10000
57,10000,10000,10000,10000,10000,10000,10000,10000,10000
58,10000,10000,10000,10000,10000,10000,10000,10000,10000
59,10000,10000,10000,10000,10000,10000,10000,10000,10000
60,10000,10000,10000,10000,10000,10000,10000,10000,10000
61,10000,10000,10000,10000,10000,10000,10000,10000,10000
62,10000,10000,10000,10000,10000,10000,10000,10000,10000
63,10000,10000,10000,10000,10000,10000,10000,10000,10000
64,10000,10000,10000,10000,10000,10000,10000,10000,10000
65,10000,10000,10000,10000,10000,10000,10000,10000,10000
66,10000,10000,10000,10000,10000,10000,10000,10000,10000
67,10000,10000,10000,10000,10000,10000,10000,10000,10000
68,1399.345,10000,10000,10000,10000,10000,10000,10000,10000
69,10000,10000,10000,10000,10000,10000,10000,10000,10000
70,10000,10000,10000,10000,10000,10000,10000,10000,10000
71,10000,10000,10000,10000,10000,10000,10000,10000,10000
72,10000,10000,10000,10000,10000,10000,10000,10000,10000
73,10000,10000,10000,10000,10000,10000,10000,10000,10000
74,10000,10000,10000,10000,10000,10000,10000,10000,10000
75,0.455,0.81,10000,0.771,10000,0.895,10000,0.727,10000
76,2.844,4.476,10000,3.723,10000,17.327,10000,12.9,10000
77,23.602,110.562,10000,86.798,10000,46.158,10000,45.328,10000
78,330.777,508.676,10000,481.594,10000,334.979,10000,315.931,10000
79,1009.409,10000,10000,10000,10000,573.93,10000,678.494,10000
80,1.29,1.967,10000,1.8,10000,1.994,10000,1.987,10000
81,40.483,89.114,10000,59.721,10000,27.608,10000,29.032,10000
82,52.321,74.681,10000,84.989,10000,49.952,10000,63.889,10000
83,97.993,194.193,10000,189.276,10000,192.296,10000,199.374,10000
84,705.571,10000,10000,10000,10000,10000,10000,10000,10000
85,2291.732,10000,10000,10000,10000,10000,10000,10000,10000
86,205.337,260.926,10000,267.927,10000,71.636,10000,71.079,10000
87,756.47,879.629,10000,893.217,10000,651.134,10000,820.206,10000
88,713.865,10000,10000,10000,10000,10000,10000,997.952,10000
89,4417.667,10000,10000,10000,10000,10000,10000,10000,10000
90,8.303,11.215,10000,11.414,10000,26.058,10000,25.906,10000
91,444.09,428.606,10000,425.612,10000,209.4,10000,148.926,10000
92,199.171,349.4,10000,270.123,10000,440.269,10000,664.513,10000
93,546.428,10000,10000,10000,10000,10000,10000,10000,10000
94,10000,10000,10000,10000,10000,10000,10000,10000,10000
95,45.291,155.938,10000,120.678,10000,67.13,10000,52.707,10000
96,15.614,31.485,10000,25.341,10000,36.705,10000,35.383,10000
97,144.436,144.709,10000,122.258,10000,70.458,10000,57.322,10000
98,54.603,166.808,10000,124.03,10000,131.695,10000,145.179,10000
99,489.335,464.298,10000,768.803,10000,10000,10000,997.336,10000
100,424.445,919.795,10000,268.602,10000,890.964,10000,927.337,10000
101,1914.796,10000,10000,10000,10000,10000,10000,10000,10000
102,585.326,10000,10000,10000,10000,10000,10000,10000,10000
103,4531.43,10000,10000,10000,10000,10000,10000,10000,10000
104,1782.7,882.847,10000,10000,10000,10000,10000,10000,10000
105,894.854,10000,10000,10000,10000,10000,10000,10000,10000
106,1510.632,10000,10000,10000,10000,10000,10000,10000,10000
107,10000,10000,10000,10000,10000,10000,10000,10000,10000
108,10000,10000,10000,10000,10000,10000,10000,10000,10000
109,10000,10000,10000,10000,10000,10000,10000,10000,10000
110,2065.378,10000,10000,10000,10000,10000,10000,10000,10000
111,10000,10000,10000,10000,10000,10000,10000,10000,10000
112,10000,10000,10000,10000,10000,10000,10000,10000,10000
113,10000,10000,10000,10000,10000,10000,10000,10000,10000
114,10000,10000,10000,10000,10000,10000,10000,10000,10000
115,0.842,1.646,10000,1.559,10000,1.908,10000,2.002,10000
116,1.316,2.595,10000,2.197,10000,2.479,10000,2.466,10000
117,1.664,2.416,10000,2.99,10000,2.767,10000,3.497,10000
118,0.77,1.499,10000,1.523,10000,1.343,10000,1.35,10000
119,0.807,1.636,10000,1.468,10000,1.686,10000,1.594,10000
120,1.604,2.714,10000,3.081,10000,2.621,10000,2.949,10000
121,2.038,3.274,10000,3.96,10000,4.231,10000,4.645,10000
122,3.097,6.337,10000,6.403,10000,4.664,10000,5.065,10000
123,1.06,1.72,10000,1.505,10000,1.828,10000,1.643,10000
124,1.209,1.995,10000,2.501,10000,2.653,10000,2.577,10000
125,2.29,3.202,10000,4.06,10000,4.181,10000,3.239,10000
126,3.166,4.379,10000,3.909,10000,4.868,10000,5.789,10000
127,3.805,5.528,10000,5.947,10000,7.86,10000,8.092,10000
128,4.407,10.372,10000,10.277,10000,7.838,10000,8.845,10000
129,1.516,2.199,10000,2.675,10000,3.241,10000,2.858,10000
130,3.142,7.449,10000,7.094,10000,5.729,10000,8.248,10000
131,5.154,10.806,10000,11.278,10000,11.341,10000,8.399,10000
132,5.324,11.835,10000,15.233,10000,10.504,10000,12.644,10000
133,8.897,21.187,10000,17.191,10000,16.706,10000,15.304,10000
134,2.147,4.385,10000,3.22,10000,4.305,10000,3.97,10000
135,0.788,1.531,10000,1.54,10000,5.588,10000,3.833,10000
136,3.448,29.631,10000,16.072,10000,17.902,10000,14.319,10000
137,6.763,49.753,10000,23.605,10000,19.805,10000,19.795,10000
138,2.854,31.662,10000,19.59,10000,12.814,10000,14.618,10000
139,26.808,55.441,10000,37.743,10000,40.737,10000,48.38,10000
140,66.549,138.393,10000,125.688,10000,101.403,10000,89.298,10000
141,839.745,10000,10000,10000,10000,10000,10000,10000,10000
142,1179.663,10000,10000,10000,10000,10000,10000,10000,10000
143,10000,10000,10000,10000,10000,10000,10000,10000,10000
144,10000,10000,10000,10000,10000,10000,10000,10000,10000
145,1.765,18.373,10000,15.716,10000,13.78,10000,14.493,10000
146,0.864,1.607,10000,1.212,10000,8.187,10000,6.736,10000
147,5.457,36.738,10000,29.8,10000,19.376,10000,22.737,10000
148,6.67,42.082,10000,29.459,10000,21.774,10000,23.286,10000
149,207.915,325.781,10000,344.818,10000,312.629,10000,320.935,10000
150,98.987,206.644,10000,177.51,10000,157.852,10000,186.938,10000
151,5.792,40.556,10000,24.783,10000,20.298,10000,20.639,10000
152,3.825,33.4,10000,23.747,10000,15.473,10000,17.846,10000
153,4.501,26.93,10000,26.188,10000,18.843,10000,16.229,10000
154,2.693,18.054,10000,19.403,10000,16.758,10000,16.237,10000
155,1176.087,484.475,10000,369.345,10000,220.329,10000,140.7,10000
156,6.656,16.344,10000,14.385,10000,15.568,10000,21.766,10000
157,10.762,20.33,10000,18.348,10000,24.786,10000,32.94,10000
158,188.768,378.371,10000,451.924,10000,563.165,10000,339.339,10000
159,0.83,1.985,10000,1.346,10000,2.1,10000,1.483,10000
160,4.278,13.52,10000,9.261,10000,17.598,10000,16.761,10000
161,36.171,82.454,10000,112.062,10000,92.737,10000,139.143,10000
162,594.51,570.958,10000,580.057,10000,495.298,10000,507.852,10000
163,0.852,1.742,10000,1.617,10000,1.769,10000,1.764,10000
164,2.325,4.587,10000,7.306,10000,9.075,10000,10.736,10000
165,41.649,72.833,10000,101.823,10000,82.693,10000,80.909,10000
166,218.633,408.79,10000,393.872,10000,269.75,10000,279.032,10000
167,3.789,7.14,10000,4.903,10000,10.677,10000,6.902,10000
168,36.772,88.782,10000,98.975,10000,93.96,10000,70.927,10000
169,218.386,279.036,10000,302.056,10000,156.672,10000,175.096,10000
170,2.395,3.379,10000,3.893,10000,6.271,10000,5.043,10000
171,10000,10000,10000,10000,10000,10000,10000,10000,10000
172,2409.775,10000,10000,10000,10000,10000,10000,10000,10000
173,72.313,171.347,10000,186.053,10000,204.501,10000,200.135,10000
174,11.104,25.595,10000,15.976,10000,42.293,10000,47.749,10000
175,1894.356,161.878,10000,142.78,10000,85.374,10000,52.889,10000
176,1290.297,353.073,10000,310.476,10000,143.284,10000,386.193,10000
177,10000,10000,10000,10000,10000,10000,10000,10000,10000
178,176.867,294.544,10000,191.674,10000,213.578,10000,187.313,10000
179,72.105,114.764,10000,117.728,10000,55.994,10000,77.804,10000
180,47.392,100.861,10000,80.109,10000,73.575,10000,97.565,10000
181,27.289,53.197,10000,40.265,10000,67.985,10000,52.127,10000
182,384.767,474.223,10000,710.384,10000,350.841,10000,584.132,10000
183,227.952,133.182,10000,155.364,10000,208.493,10000,290.859,10000
184,2346.441,289.854,10000,490.363,10000,10000,10000,10000,10000
185,10000,10000,10000,10000,10000,10000,10000,10000,10000
186,10000,10000,10000,10000,10000,10000,10000,10000,10000
187,15.129,31.82,10000,25.992,10000,41.119,10000,50.757,10000
188,10000,10000,10000,10000,10000,10000,10000,10000,10000
189,10000,10000,10000,10000,10000,10000,10000,10000,10000
190,88.055,216.994,10000,134.6,10000,73.13,10000,63.625,10000
191,134.443,624.234,10000,667.968,10000,391.518,10000,359.998,10000
192,0.402,0.733,10000,0.668,10000,0.718,10000,0.604,10000
193,1.441,2.37,10000,2.167,10000,5.825,10000,5.032,10000
194,2.681,4.09,10000,4.078,10000,8.353,10000,7.082,10000
195,13.506,24.313,10000,20.949,10000,33.625,10000,34.817,10000
196,10000,10000,10000,10000,10000,10000,10000,10000,10000
197,4471.152,10000,10000,10000,10000,10000,10000,10000,10000
198,1.278,1.521,10000,1.563,10000,4.796,10000,3.131,10000
199,84.122,95.723,10000,62.779,10000,83.713,10000,105.14,10000
200,223.151,417.818,10000,614.71,10000,357.164,10000,258.016,10000
201,10000,10000,10000,10000,10000,10000,10000,10000,10000
202,10000,10000,10000,10000,10000,10000,10000,10000,10000
203,10000,10000,10000,10000,10000,10000,10000,10000,10000
204,10.574,41.387,10000,44.183,10000,11.925,10000,10.264,10000
205,13.887,25.262,10000,22.581,10000,30.756,10000,40.135,10000
206,420.764,978.317,10000,10000,10000,138.34,10000,130.864,10000
207,10000,10000,10000,10000,10000,10000,10000,10000,10000
208,10000,10000,10000,10000,10000,10000,10000,10000,10000
209,10000,10000,10000,10000,10000,10000,10000,10000,10000
210,10000,10000,10000,10000,10000,10000,10000,10000,10000
211,10000,10000,10000,10000,10000,10000,10000,10000,10000
212,4.335,18.77,10000,19.073,10000,19.881,10000,14.753,10000
213,0.306,0.431,10000,0.414,10000,1.193,10000,0.811,10000
214,0.384,0.603,10000,0.485,10000,1.813,10000,1.236,10000
215,1.252,13.057,10000,5.676,10000,6.6,10000,4.623,10000
216,1.392,2.443,10000,2.083,10000,8.238,10000,5.881,10000
217,10000,10000,10000,10000,10000,10000,10000,10000,10000
218,14.795,32.513,10000,22.658,10000,18.956,10000,22.111,10000
219,56.308,84.194,10000,62.468,10000,46.644,10000,48.221,10000
220,4601.014,112.708,10000,63.75,10000,96.053,10000,116.56,10000
221,46.424,120.08,10000,100.623,10000,107.743,10000,88.903,10000
222,10000,10000,10000,10000,10000,10000,10000,10000,10000
223,10000,10000,10000,10000,10000,10000,10000,10000,10000
224,10000,10000,10000,10000,10000,10000,10000,10000,10000
225,10000,10000,10000,10000,10000,10000,10000,10000,10000
226,10000,10000,10000,10000,10000,10000,10000,10000,10000
227,0.34,0.479,10000,0.499,10000,1.461,10000,0.8,10000
228,0.497,0.806,10000,0.799,10000,2.018,10000,1.266,10000
229,0.613,1.052,10000,1.154,10000,5.695,10000,3.213,10000
230,2.089,15.035,10000,12.531,10000,8.476,10000,6.754,10000
231,8.162,18.222,10000,16.186,10000,8.929,10000,13.73,10000
